post_id	text	date
1	"Вижу в снегу лежат скомканные светло-красные бумажки. Подобрала. Разгладила.  А там 5 купюр по 5 тысяч рублей!  Вот повезло!  Быстрее нарезала с этого места. Решила закинуть их на карту. Заодно узнаю настоящие они или нет. Банкомат принял. Но при проверке счета, на карте оказалось не 25 тысяч, а 250 тысяч. Перепроверила несколько раз!   Быть не может! Что за глюк!?! (до этого на карте было 0). 250000 рублей. Сняла в другом банкомате 50 тысяч. Думаю закрою кредит и и еще остается на не плохо погулять с налички. Добираюсь до банка. Иду к свободной кассе только закрываю кредит...  БАХ! ЗВОН! КРИК! ""Поздравляем! Вы наш миллионный клиент! Вы выиграли автомобиль!""   Я держалась за сердце. Постепенно приходя в себя, думала: ""Это невозможно! Чтоб так за день повезло! Спасибо!"" меня все поздравляли, Жали руку. Я попросила выйти на пару минут на свежий воздух, чтоб прийти в себя.   Выход, я подскользнулась. Падаю и тут просыпаюсь. СУУКААА!!!"	2016-02-21 13:52:41
2	всем спасибо за поздравления!	2016-02-13 17:13:32
3	"Сплетни людские не знают предела: Замуж в 16? Она - ""зaлетела"". Если не вышла, решили зaочно, что старою девой умрёт, этo точно. Меняет мужчин? Да, она - потаcкуха. Ребенок без мужа? Гулящая сука. Не родила, значит, просто больная. Будто собаки: и лают, и лают. Трое детей? Ну, куда нарожала? Сейчас, что не день, всё в стране дорожает. Работает много? Она - трудоголик, водку купила? Супруг - алкоголик. Новая шуба? Любовник подкинул. Что ни случись, всё найдутся причины. Им бы язык прикусить на минуту, так нет же, все вносят в чужую жизнь смуту...   Сплетником быть - это просто ""искусство"". Жить без таких нам, друзья, будет грустно! Вы счастливы будьте, их слов не внимая, а люди, пускай, себе дальше болтают..."	2016-01-17 19:20:40
4	Не пытайтесь соблазнить мужчину, у которого есть женщина. Предав её, он однажды предаст и вас. Нина Добрев	2016-01-04 19:28:01
5	Вчера оплатил 1147 рублей за капремонт дома. Посмотрел на сайте Правительства Москвы, мой дом будут ремонтировать в 2033 году (через 18 лет). Общая площадь моего дома, по данным того же сайта, равна 56778 кв.м. А теперь моё любимое. Считаем: За 18 лет я заплачу: 1147 руб * 12 мес * 18 лет = 247'752 рубля. За 18 лет весь мой дом заплатит: 56778 кв.м. * 15 руб/м * 12 мес * 18 лет = 153'300'600 рублей.  Я думал, нам просто трубы и крышу отремонтируют (так на сайте у них сказано), но, судя по сумме ремонта, уже в 2033 году на моем доме будут золотые купола, минимум две вертолетные площадки, бронированые окна, скоростные лифты, кевларовые стены и платиновое напыление на перилах, ну чисто для красоты.  Я выражаю искреннюю благодарность всем, кто придумал или имеет хотя бы какое-то отношение к авторству этой замечательной, своевременной и такой щедрой социальной программы.  Низкий вам поклон.	2015-12-29 14:05:15
6	Когда я стану дряхлою старушкой и мне исполнится 120 лет, я все равно останусь хохотушкой, чтоб рядом не грустил со мной мой дряхлый дед! 😂	2015-12-20 16:58:10
7		2015-12-13 10:54:42
8		2015-10-10 19:05:01
9		2015-10-05 18:31:13
10	Научись отпускать людей, -  Кто решил от тебя уйти,  Кто был в списке твоих друзей,  Кто тебе помогал в пути.   Кто любимым когда-то был,  Или даже остался им.  Кто так страстно тебя любил,  А теперь стал совсем чужим.   И, не значит, что он плохой,  Значит, просто закончен бал.  Просто так решено судьбой  В этой жизни кривых зеркал.   Отпусти, пусть уходит вдаль,  Даже, если тоска сильней.  Пусть отпустит тебя печаль, -  Научись отпускать людей...	2015-08-05 12:23:15
11	Эх, Жизнь МОЯ - тебя Я ОБОЖАЮ!...  Не привыкать... барахтаться в петле...  Пока есть ТЕ , кого Я РАЗДРАЖАЮ ...  МНЕ веселей живётся на Земле	2015-08-03 22:08:51
12		2015-08-03 22:06:00
13	Я знаю- всё пройдет и станет легче... Когда-нибудь я снова полюблю! Читала я, что время душу лечит- А значит, скоро вылечит мою...  Спасибо, что ушел, когда был нужен. Спасибо, что вернуться не посмел. Спасибо, что другой мне станет мужем- Всё будет так, как ты того хотел...  Я больше не держу - я отпускаю! Вперед и с песней! Бог тебе судья! Я буду счастлива, поверь, я это знаю! Вернуться хочешь? Нет, родной, нельзя!	2015-07-22 19:26:50
14		2015-07-22 18:25:52
