post_id	text	date
1	✌✌✌✌✌	2016-05-07 08:08:41
2		2016-05-07 07:47:04
3		2016-04-20 22:09:39
4	Битва была долгой😎😏😀	2016-04-11 19:31:23
5	Меньше 2х месяцев,Дмб неизбежен!!!	2016-04-05 07:50:10
6	Вот и все!  ПРИКАЗ НА УВОЛЬНЕНИЕ!	2016-03-27 12:51:04
7	Люди,помните;если солдат ВКС проспит,то вы уже не проснетесь.	2016-02-21 21:36:49
8	Антитеррор😎	2016-01-05 10:19:47
9	Новый год! 😉	2016-01-01 21:00:04
10	Это пиздец😀	2016-01-01 20:55:37
11	Вместо того чтоб мутить бабки с барыгами встречаться, баб на новый год звать,сижу бля в ебучий армии учу какую то ебучую хуйню!!!	2015-12-30 14:51:55
12	чет типо армии 😊	2015-12-27 01:50:09
13	Настанет тот день, когда Я приведу девушку в дом со словами Мам знакомься моя невеста.	2015-10-15 23:30:36
14	Миру- Мир,солдату- дембель!!! 225	2015-10-15 20:22:17
15	Наверное, мы последнее поколение, которых жизни учила улица, а не компьютер.	2015-10-05 18:22:57
16	ОУ-74	2015-09-16 17:09:41
17	Я после армии;-)	2015-09-06 23:28:53
18	Я вас не когда не забуду!!!	2015-08-23 19:48:29
19	Братиииш	2015-07-21 10:10:41
20	Вокзал видел больше искренних поцелуев, чем ЗАГС.  А стены больницы, возможно, слышали больше искренних молитв, чем церковь.	2015-07-20 07:55:07
21	Я много обещал, но ты мне все прощала И пусть ты многого не знаешь, но мы же семья. И жалко что нельзя начать всё с начало Я буду первым только ради тебя.  Мама.	2015-07-17 23:38:39
22	ВКО ебааааа!!!!	2015-07-10 12:40:42
23		2015-05-31 10:33:27
24	Сразу говорю у Саши ебло не треснет,и жопа не слипнется 😃 😜 😉 😉 😇	2015-05-27 01:04:11
25	"""В жизни самое главное - видеть своих любимых людей счастливыми. Больше ничего и не надо...""."	2015-04-30 10:30:43
26	Мне говорили, что для того, чтобы она влюбилась, я должен смешить ее. Но каждый раз, когда она смеялась, влюблялся я	2015-01-11 05:11:28
27		2015-01-06 21:22:00
28	Цени друзей!	2015-01-05 11:04:38
29	Долго ржал 😃 😃	2015-01-02 21:48:47
30	"16 лет. Парень спрашивает у отца: - Папа, когда мне исполнится 18 лет, что ты мне подаришь?! Отец отвечает: - до этого ещё есть время сынок. В 17 лет этот мальчик попадает в больницу, с диагнозом ""заболевания сердца""! Мальчик у отца спрашивает: - Папа я умру!? В этот раз отец промолчал! В 18 лет, мальчик вернулся домой и увидел в своей спальне письмо! - Сынок, помнишь, ты у меня спросил, что я тебе подарю в 18 лет? Я подарил тебе своё сердце, С Днём рождения, сынок ."	2014-12-31 00:23:37
31	С наступающим ребяяят!!! 🎉 ❤ ✌ ✌	2014-12-29 14:44:15
32	Не понимаю людей, которые изменяют: если ты любишь, то нету смысла изменять, а если не любишь - нет смысла быть вместе...	2014-12-01 02:24:00
33	Счастье - это когда ты нужен тому, кто нужен тебе.	2014-12-01 02:13:40
34		2014-11-30 20:42:27
35	Если мне кто то грубит все считай убит зверь!	2014-10-28 22:19:27
36	Люблю своих соседей!!!:D	2014-10-21 09:13:25
37	3 ноября D.masta vs St ждееем!!!!	2014-10-19 14:34:39
38		2014-10-09 20:13:25
39		2014-10-08 13:16:45
40	РРРР	2014-10-06 16:19:31
41	Мы встанем за брата!!!Не какой беседы только понеслась!!!27.09.14. 23:00 Кутуза.	2014-09-26 06:42:07
42	Было клева спасибо))*	2014-09-08 16:15:46
43	Чертовски приятно когда девушка беспокоиться за тебя,скучает по тебе,говорит чтоб одевался теплее а если заболеешь говорит что прибьет:D) блин спасибо тебе большое я ценю это)***	2014-09-07 20:36:01
44	ТПшки рулят 😋 😋 😋	2014-09-07 13:26:35
45	Хотели взять ключи от машины и наткнулись на это:D	2014-08-15 09:20:44
46	За просто так суки!	2014-08-15 09:15:55
47	27.07.14. Ахуенная была ночка 6 криминальных дел! 1-Поджог. 2-Ограбление. 3-Хулиганство. 4-Присвоение чужого имущества. 5-Разбойное нападение. 6-Поджог.	2014-08-15 09:13:03
48		2014-06-14 20:27:52
49		2014-01-02 19:50:52
50	Люблю ее))**	2013-12-17 19:26:20
51	Юлдаш 2013))	2013-08-19 17:46:37
52	последствия...	2013-07-10 10:36:13
53	Бля опять ебанный суд...	2013-06-28 13:28:45
54	Опять в мусарне.	2013-05-05 20:27:48
55	На хате кипишь DDD	2013-04-09 21:34:14
56	:3 — .	2013-04-08 16:05:29
57		2013-03-30 12:31:16
58	Как же меня заебали эти мудилы.	2013-03-05 15:04:31
59	Вот этого черта мы напоили.DDD	2013-02-07 18:10:47
60	Подведем итоги на ночь с субботы на воскресеньеDDD. 1 Напоили попугая из за того что он орал много после пива он стал гораздо спокойнее.2 Прожгли пол.3 Сломали ручку в сортире.4 Использовали 16 гандонав.5 Разьебали стену диван сломали.6 Приперлись 4 мусора иза шума повыебывались забрали одного далбаеба и уехали.7 Пытались выйти через окно но были не в состоянии в итоге разбили стекло.8 Разбили какийто фуршеры.9 Ебало изрисовали одному чувачку за то что первый самый вырубился.10 Приперлись какийто левые бабы побухали и сьебались.	2013-02-03 02:51:29
61	((((	2013-01-31 17:58:54
62	Был тут? — Да.	2013-01-30 13:05:12
63		2013-01-27 18:31:04
64	)))	2013-01-25 19:32:33
65		2013-01-06 15:29:57
66	Чтоб всем так в новый год!	2012-12-29 13:46:26
67	Я не принял моду быть как все я стал изгоем, но собой же я доволен так как я иду своей тропою.(Lil Soulja)	2012-12-26 10:58:08
