post_id	text	date
1		2016-05-27 13:29:50
2		2016-05-26 07:52:36
3		2016-05-25 13:14:34
4	#сахар	2016-05-25 11:06:58
5	Вооот,коллега,смотри!!!Мы уже тут;)	2016-05-22 21:38:05
6		2016-05-22 17:51:41
7	Мимими#	2016-05-21 21:18:32
8	"DJ ""KAN"",Сахар)))))"	2016-05-21 02:57:42
9	"Оф.ди-джей ""BLACK STAR""#"	2016-05-21 02:54:41
10	Отдыхаем#	2016-05-21 02:51:01
11	Кан#	2016-05-21 02:48:12
12	"Ди Джей ""KAN""))))Сахар#"	2016-05-21 02:17:36
13	😄😆😛😅	2016-05-20 22:01:40
14	Крутой фильм!))))😎👽🆘🎬🎬🎬	2016-05-19 23:19:37
15	😎😏👍💪🔞🍔🍕🍗🍖👣👭👫👯👨📷🔥	2016-05-19 22:50:53
16	Супер съездили😎😄👍🍷🍸🔞☀⚡⚠🍀🌳	2016-05-19 22:50:00
17		2016-05-19 14:16:36
18		2016-05-19 14:12:10
19		2016-05-19 14:09:39
20		2016-05-12 19:10:44
21	"Озеро ""Банное""))))"	2016-05-11 15:37:44
22	Меня опять посетила мысль почистить друзей ВК....)))))Может вообще всех на*рен???😝😖😎😆	2016-05-10 20:50:57
23	😍😚😘😇😏	2016-05-08 22:11:05
24		2016-05-05 20:52:33
25	Маринка,зараза)))Подсадила)))😜😆😄	2016-05-05 20:49:04
26	#Ситибар#Мини #корпоративчеггг	2016-05-02 15:08:35
27	Работаем,как можем)))	2016-05-02 14:56:21
28	Люблю тебя)))	2016-04-29 21:49:55
29	Мы с зайцем в Баку))))	2016-04-29 21:45:14
30		2016-04-22 19:47:50
31		2016-04-22 19:44:36
32	В Челябинске!!!!	2016-03-19 22:04:09
33	#снышахерезады	2016-03-17 16:17:32
34	Девоньки мои,с Наступающим Вас праздником))))Любите и будьте любимы,дарите своим мужчинам только позитивные эмоции и улыбки))))Вдохновляйте на поступки и подвиги))))ЛЮБЛЮ Вас))))😍😌😇❤😚😘☺🙏💋🎁🎁🎁🌺🌻🌼🌸🌷☀🍓 Позже не до поздравлений будет))))🍸🍷😹🎊🎉🎈🎤👐👑👣👭👯💃💄💅💕💓💐💐💐💐💖💗💙💚💜💝💞💘💥💣	2016-03-07 15:04:12
35	И контрольный в голову)))))	2016-03-05 20:13:54
36		2016-03-05 20:12:33
37		2016-03-05 20:11:34
38	Днюшенька))))	2016-03-05 20:10:33
39	Буду завтра молиться))))	2016-03-03 21:31:24
40		2016-03-03 09:29:56
41		2016-03-03 09:08:33
42		2016-02-20 15:09:12
43		2016-02-16 12:49:57
44	У всех половинки,а у меня целое сердце))))	2016-02-14 15:22:05
45	Рррррррр))))	2016-02-09 19:56:35
46	Подписывайтесь на нас в INSTAGRAM: CATALOG_mgn	2016-02-08 13:14:09
47		2016-02-08 09:17:20
48		2016-01-13 21:58:12
49		2016-01-11 21:19:07
50		2016-01-11 21:18:14
51		2016-01-11 21:17:50
52		2016-01-11 21:17:06
53	#новыйгодвсахаре	2016-01-11 14:59:49
54	#мимимишности#	2016-01-07 22:22:16
55	Шел четвертый день января,мы выживали,как могли)))	2016-01-04 22:58:17
56	Так хочется взять и пиз*ануть каждому второму орфографическим словарём....	2016-01-03 22:56:37
57	Вот такие класнючие ноготки у меня на #новыйгод	2015-12-31 17:09:53
58		2015-12-08 23:42:05
59		2015-12-06 12:20:04
60	👍😏☺😎😋💪	2015-12-04 16:31:04
61	Пятница....)))))😋😝🍷🍸🙀🎊🎉🐰👣👭👯💃💄💅💕💥	2015-12-04 15:52:24
62	До Нового года осталось 30 дней...))))❄❄❄🎅🎅🎅🎁🎁🎁🎄🎄🎄⛄⛄⛄🌲🌲🌲🎉🎉🎉🐵🐵🐵👭👯💃💄💅💙💚💜💖💥🙊🙈🙉	2015-12-01 13:35:32
63	Какая боль,какая боль,Магнитка-Нефтехимик 5:0!!!))))😎😏👍👏👊🏆	2015-11-30 19:59:31
