post_id	text	date
1	закрытие танцевального сезона :)	2016-05-26 15:45:30
2	"ура мы лучшие в Белорецке :)) конкурс ""Кубок Администрации Белорецкого района """	2016-05-15 14:01:30
3	:))	2016-05-08 13:05:01
4		2016-05-08 13:00:17
5	выходные :)	2016-05-02 21:32:43
6	выпускной в садике :)	2016-05-01 13:52:56
7	Как быстро летит время :) в эту пятницу уже выпускной :)  вот и Ева заканчивает садик и готовится во взрослую школьную жизнь :(	2016-04-25 22:14:38
8	а у нас сегодня конкурс звёздочки Магнитки :)	2016-04-04 08:25:59
9	гуляем после тренировки :)	2016-03-13 12:57:00
10	💋💋🏆🏆👏👏👏	2016-02-25 14:46:25
11	"дочь не перестаёт радовать!! сегодня по результатам рейтинга за 2015 год Еве присудили звание ""Лучший исполнитель спортивного бальной танца"" !!!! 🏆🏆🏆🏆🏆моя гордость 😘😘😘😘"	2016-02-23 17:36:37
12	Сегодня всем мужчинам дарят подарки, а у нас все наоборот :) мечты сбываются ;) новый член нашей семьи :)	2016-02-23 17:21:25
13	теперь наша кукла крещеная :) а в нашей семье прибавились новые родственники :)	2016-02-22 10:04:52
14		2016-02-14 21:57:36
