post_id	text	date
1	@fatale.jewelry #fashion #model #modamoskow #девушки#аксессуары #moda2016	2016-05-01 12:57:46
2		2016-04-27 06:39:41
3	Фотограф http://vk.com/id5430104	2016-04-27 06:32:08
4	Фотограф http://vk.com/id5430104	2016-04-26 12:45:21
5		2016-04-25 10:37:22
6		2016-04-24 10:01:41
7	💖💖💖	2016-04-23 18:27:41
8	#доброеутро 💋💋💋	2016-04-18 07:17:22
9	#с моей любимый сестрёнкой @miss_nastya_88  #самые красивые ☺️☺️	2016-04-17 15:09:08
10		2016-04-17 13:47:21
11	💖💖💖	2016-04-16 15:32:00
12	💋	2016-04-11 11:25:06
13		2016-04-08 10:29:00
14	#воскресеньевыходной💖	2016-04-03 11:17:55
15	"Серьги ""Снежинки"" от ювелирных салонов ""Каменный цветок""))"	2016-03-31 13:43:48
16	👸🏽💋	2016-03-29 17:52:36
17	Этo прекрасно, когда в твоём мужчине сочетаются качества мужа, любовника, добытчика, лучшей подружки и твоего личного Ангела Хранителя	2016-03-24 10:04:45
18	💖💖💖	2016-03-15 17:28:55
19	👸🏽❤️	2016-03-13 11:28:45
20	#всехспраздником 🌹🌹🌹	2016-03-08 10:52:45
21	#спасибо #моейлюбимой @miss_nastya_88  за такую красоту 😍😍😍	2016-03-08 08:35:52
22		2016-03-04 17:55:16
23	#розовое настроение 💖💖💖	2016-03-04 17:49:29
24		2016-03-03 07:42:37
25	#улыбка-лучшееукрашениедевушки😊	2016-02-28 15:02:23
26	#доброеутро💋💋💋	2016-02-28 08:22:20
27	Жемчужина 2015 пришли болеть за Жемчужину 2016  ❤️❤️❤️Все в красном 💃🏼💃🏼💃🏼Самые красивые 😍😍😍	2016-02-27 18:47:43
28	#❤️	2016-02-27 11:19:21
29	#прекрасныйвечер #Жемчужина 2016 😍	2016-02-27 11:18:58
30	❤️	2016-02-20 18:33:04
31	Безумно приятно 😍😍😍	2016-02-14 10:07:39
32	#самыекрасивые 👑👑💋💋💋	2016-02-10 17:49:45
33	На день рождения к нашей принцессочке Каролине 💝💝💝👑👑👑 #2годика 🎊🎊🎊🎁🎁🎁🎉🎉🎉🎉💋💋💋	2016-02-10 17:49:35
34	#наконец #собралиськататься ❄️⛷	2016-02-08 16:14:13
35		2016-02-02 14:07:52
36	👩🏽👄	2016-01-30 15:32:54
37	😍🙋🏽	2016-01-24 08:42:33
38	#💋💋💋	2016-01-15 08:21:27
39	#доброе утро 😎💋💋💋	2016-01-09 11:00:51
40	#встреча с прекрасными Жемчужинами 😍😍😍🔮🔮🔮	2016-01-09 10:53:10
41	☀️❄️👩🏽💋💋💋	2016-01-06 08:43:54
42		2016-01-05 08:20:48
43		2016-01-02 08:45:09
44	🎉🎁🎊💃🏼🎉🎁🎊💋💋💋	2016-01-01 11:43:13
45	#ангелстрасти😄💃🏼💋	2016-01-01 11:31:32
46	#The Pub #девочки 🎊💃🏼😍💋💋💋💋	2015-12-30 19:12:13
47		2015-12-28 12:19:56
48		2015-12-28 09:58:58
49	👩🏽💗💗💗	2015-12-13 17:45:12
50		2015-11-28 19:52:48
51		2015-11-26 12:11:39
52	#доброе утро 💖💖💖	2015-11-22 07:51:08
53	👸🏽👸🏽👸🏽	2015-11-16 07:49:55
54	#выходной 💋💋💋	2015-10-25 17:33:26
55	#🌹🌹🌹	2015-10-21 12:11:22
56	Прекрасно проведенный вечер в компании жемчужин в Некеров-Риджис !))🔮🔮🔮🌹🌹🌹👑👑👑	2015-10-21 11:29:57
57	#любимая моя sister 👸🏽👸🏽💋💋💋	2015-10-16 07:30:27
58		2015-10-15 12:33:43
59	👩🏼😍	2015-10-13 09:13:36
60	#деньрождение#жемчужины нашей 😍🌹🌹🌹	2015-10-13 08:22:14
61	#доброеутро 💋	2015-10-11 07:58:09
62		2015-10-06 11:47:16
63	#самые#красивые @miss_nastya_88  @nefedovajuli @tahminka1989 👩🏼👩🏻👩🏻👩🏻💋	2015-10-04 09:43:35
64		2015-10-01 08:05:19
65		2015-09-22 09:58:05
66	#осень 🍂🍂🍂	2015-09-18 09:02:07
67		2015-09-17 16:40:56
68		2015-09-14 10:57:51
69	#👩🏽😍💋	2015-09-12 15:20:12
70	💋 💋 💋	2015-09-11 12:00:45
71		2015-09-11 11:44:45
72	#👩🏽🚲 💋💋💋	2015-09-11 10:29:04
73	#☔️💦☔️💦😁	2015-09-11 08:05:12
74		2015-09-10 12:55:56
75		2015-09-10 11:15:34
76	#самыйкрасивый 😍😍😍 мальчик мой 😍 #1сентября	2015-09-03 17:07:17
