post_id	text	date
1		2014-10-07 07:58:14
2		2016-01-08 19:47:07
3		2015-10-29 12:20:45
4		2015-04-10 19:26:27
5	Hand-made для Ксюшеньки.	2015-02-28 09:33:23
6	Новогоднее настроение ))))	2014-12-18 21:47:56
7	Еще один день праздника ))	2014-09-18 14:57:04
8	Наш годик!!!	2014-09-09 19:33:33
9	Ах эта свадьба...	2014-08-04 15:27:46
10	Идем на свадьбу!!!!	2014-08-02 09:48:53
11		2014-03-15 17:54:52
12		2013-12-26 12:00:00
13	Спасибо всем большое за поздравления!!!!! ))))))))))))))))	2013-09-17 10:24:48
14	"http://vk.com/club46306176 Бунгало ""Драйв"""	2013-07-29 18:53:21
15		2012-05-24 05:10:12
16		2012-04-19 05:24:03
17		2012-04-19 05:23:58
18		2012-03-02 07:06:14
19		2012-03-01 11:30:48
20		2012-02-24 10:13:56
21		2012-02-24 06:04:24
22		2012-02-15 10:39:06
23		2012-01-16 10:39:14
24		2011-09-13 08:10:18
25		2011-09-08 11:37:04
26		2011-03-02 10:30:32
