post_id	text	date
1	🖖🏻🖖🏻🖖🏻🖖🏻	2016-05-27 18:27:20
2	Мой сладкий, как молоды мы были 💗	2016-05-17 21:35:56
3		2016-05-16 22:00:18
4	А тем временем в Челябинске 14.05 @ South Ural State University	2016-05-14 10:18:51
5	Ну когда эти круги Ада закончатся! @ Chelyabinsk, Russia	2016-05-12 14:22:13
6	💿📀💿📀💿📀	2016-05-11 13:54:07
7	Гуляем на дне рождении у нашей звездочки 💗💗💗💗👸🏽👸🏼👸🏽 @ Baccara	2016-05-06 19:19:29
8		2016-05-06 18:39:26
9	Христос Воскрес 🙂🙂 @ Магнитогорск	2016-05-01 09:22:47
10	А кто то едет домоооооой☺️☺️☺️☺️💗	2016-04-29 15:10:05
11	50 оттенков Руслана 😂😂😂😂	2016-04-27 18:25:21
12		2016-04-23 11:39:20
13	Сегодня ничто не испортит мне настроения, ведь день начался с риса 😹😹😹😹🖖🏻 @ Челябинский Областной суд	2016-04-21 13:04:18
14	Позитивный понедельник 😇 @ United	2016-04-18 21:46:35
15	🐮🐮🐮	2016-04-17 20:05:36
16	Ярко-рыжего цвета вам в ленту 😂	2016-04-14 10:33:47
17	Теперь я рыжая 🙈	2016-04-13 20:58:20
18	Последние утренние пары в моей жизни  @ South Ural State University	2016-04-11 08:00:01
19	Как молоды мы были	2016-04-09 18:24:49
20	Какая огромная кисаааа😍 @ Chelyabinsk, Russia	2016-04-08 13:39:19
21	Что ещё делать на паре😂🙈 @ South Ural State University	2016-04-08 10:38:21
22	Всем кошатникам посовещается	2016-04-06 11:40:08
23		2016-04-05 10:53:44
24	Неужели весна 🔺 @ Almaz	2016-04-03 14:10:47
25	А вторник всегда маленькая пятница для энергетиков 😅😉👸🏻 @ Chelyabinsk, Russia	2016-03-29 20:13:37
26	Ахахахахах, эта запись сделала мой день😂😂😂😂😂🙏🏻	2016-03-26 12:02:35
27	Баба Юля дотащила свои старые косточки до тренировки😅 @ South Ural State University	2016-03-23 15:25:08
28	Трудовые будни🙎🏻🙎🏻🙎🏻 @ ЮУрГУ	2016-03-15 09:31:34
29	Вот такая любовь 💗	2016-03-12 16:35:52
30	Это лучше чем тюльпаны! Мальчики, вы самые лучшие ! С прошедшим 8-м Марта !) @ ЮУрГУ	2016-03-10 11:37:18
31	С любимой женщиной 😻💗💗💗 @ Arena Metallurg	2016-03-08 14:26:17
32	Когда твоё утро начинается не с кофе 😁😁😁	2016-03-05 09:55:35
33	Мой дорогой друг, я буду очень скучать по тебе! ( Макс, Гопник, Красный рот и Медведь😂)😢😢😢 @ Radisson Blu Hotel Chelyabinsk	2016-02-20 21:12:13
34		2016-02-20 21:05:23
35	Сегодня праздник у девчат💁🏻💁🏻, одной богини не хватает!!!😡	2016-02-20 19:12:36
36	Посиделки с любимыми людьми💗🦄	2016-02-19 22:04:08
37	Можно без слов. Ведь это просто фото с Денчиком) @ ЮУрГУ, Челябинск	2016-02-19 14:15:05
38	Люблю 💗😻	2016-02-17 19:53:30
39	ПП	2016-02-16 21:45:46
40	И что мы делаем среди энергетиков ?	2016-02-16 17:25:19
41	Это был лучший день всех влюбленных в мое жизни! ❤️❤️❤️❤️❤️❤️❤️	2016-02-15 22:40:11
42	Я просто оставлю это здесь 😂😂😂😂😂	2016-02-13 17:04:08
43	Такие редкие и тёплые встречи 🙏💗 @ Magnitogorsk	2016-02-07 20:43:14
44	А может под каре? Очень охото перемен 🦄✂️ @ Магнитогорск Урал	2016-02-07 13:13:00
45	Прикиньте, как у меня сестра выросла!❤️💁🏻💁🏻 @ ÓPERA CLUB	2016-02-06 20:26:23
46	Какая у нас баба то вышла, уууух. Руки в боки и пошла красивая 😂 @ Magnitogorsk	2016-02-06 14:42:17
47		2016-02-04 11:58:45
48		2016-02-03 04:51:17
49	Как же я скучала по своему сынуле. Только он меня как приведение встретил 👻	2016-01-31 18:08:52
50		2016-01-30 17:36:38
51	Вся семья в сборе! 🙏 @ Магнитогорск Урал	2016-01-29 19:11:33
52	Сладкие девчули👯Люблю💗💗💗 @ Магнитогорск Урал	2016-01-28 19:13:57
53	Куда идти после института ?	2016-01-26 20:12:32
54	Нет лучше места на земле, чем родительский дом 🤓 @ Magnitogorsk	2016-01-26 17:26:17
55	Хороший вечер с хорошими людьми ) @ Karma	2016-01-19 18:09:19
56	Остановите эту любительницу розового, 21 год как никак	2016-01-17 16:29:56
57	Коротко о том, как Юля сдавала ТОЭ @ ЮУрГУ, Челябинск	2016-01-16 22:42:36
58	Попугались от души !! @ Арбат г. Челябинск	2016-01-07 19:13:52
59	Ну что сказать, с наступающим, друзья! Больше вам улыбок в новом году! Итоги года подводить не будем: у нас все стабильно(Машка не похудела, Юля не бросила курить, да и вообще все как всегда хорошо ) прогуляйте все как следует!  @ Магнитогорск Урал	2015-12-31 14:12:37
60		2015-12-28 14:25:50
61	Новый год к нам мчится, скоро все случится	2015-12-28 12:50:06
62	Моя любимая💗💁🏻 @ Jackson's Bar&amp;grill	2015-12-26 18:43:33
63	Корпоратив	2015-12-26 18:10:22
64	Привет там на парах 👻🖖🏻 @ Chelyabinsk, Russia	2015-12-08 10:31:26
65		2015-11-27 23:52:17
66	👸🏻👸🏻👸🏻👸🏻	2015-11-26 19:02:10
67	Хмурое осеннее настроение ⚪️⚫️⚪️⚫️⚪️⚫️⚪️⚫️⚪️⚫️⚪️⚫️	2015-11-18 20:00:28
68		2015-11-13 08:56:27
69	Я снова шатенка☺️☺️☺️ @ Magnitogorsk	2015-11-07 14:56:00
70	Ненавижу такую погоду😡😡😡😡	2015-10-28 17:42:50
71	Леди в черном 😎😎😎😎 @ Opera Club &amp; Lounge	2015-10-27 16:30:30
72	Я тебя люблю ❤️моя Энджи @ Opera Club &amp; Lounge	2015-10-24 23:39:05
73		2015-10-24 21:06:29
74	Зима подкралась незаметно 🐰❄️ @ Отель Виктория	2015-10-21 11:38:26
75	Захотела-сделала!	2015-10-17 17:11:00
76	🍧 @ Chelyabinsk, Russia	2015-10-16 13:00:26
77	С днем рожденияяяяяя 🎊🎉🎈🎈🎊🎉 @ БД Спиридонов	2015-10-07 09:31:06
78		2015-10-02 17:01:06
79		2015-10-02 13:49:46
80	На работу Как на праздник 😂 @ БД Спиридонов	2015-09-18 16:50:51
81	Моя любимая ВиаГра❤️💃💃💃 @ Челябинск, Чичерина, 8	2015-09-14 13:22:56
82	Начало ✌️✌️ @ Теорема	2015-09-05 20:11:51
83		2015-08-17 18:05:38
84	⛅️	2015-08-17 18:05:07
85		2015-08-11 12:52:11
86		2015-08-08 15:56:44
87		2015-08-07 13:38:51
88	Ну вот и начало нашего приключения! Пока хмурый Челябинск 👋 @ Аэропорт Баландино	2015-08-06 15:15:20
89	🐤🐤🐤	2015-08-02 12:58:27
90		2015-08-02 11:49:49
