post_id	text	date
1	Когда ты очень сильно достала парня со своими фотографиями, то тебе приходится довольствоваться одним фото с размытой ногой 😄🙈 а вообще мы гулять ☀️❤️	2016-05-28 11:26:55
2	🌿🍃☀️😊	2016-05-25 17:30:31
3	"Чаще улыбайтесь новому дню, и не забудьте сказать своим близким: ""Люблю..."" ❤️"	2016-05-24 14:56:09
4	#Парк 🌳 #вечер 🌥 #любимый ❤️ #мистеркекс 🐾 #счастьевмелочах 🙂 @ Парк Металлургов	2016-05-22 17:24:59
5	🦁	2016-05-18 12:39:41
6	Ты подойдешь ко мне, я всё понял,  Двое в темноте мы утонем 🎧	2016-05-12 11:10:26
7		2016-05-09 20:36:30
8		2016-05-08 23:18:32
9	Мы на вечернюю прогулку 🐾❤️ #мистеркекс	2016-05-03 18:59:05
10	От любимого только ушко торчит 👂🏻❤️	2016-05-02 11:59:46
11		2016-04-25 14:26:38
12	Слава сказал что я сегодня Малефисента 😈🔮👀	2016-04-21 12:52:41
13		2016-04-18 13:30:30
14	Через пару дней у нас обещают дожди... А пока можно гулять и наслаждаться прекрасной погодой ☀️ @margaritin_slava самый любимый мой фотограф ❤️	2016-04-16 18:10:28
15	🎶❤️	2016-04-14 21:04:35
16	🎀	2016-04-10 12:41:04
17	Срочно мыть машину 😳🙈🚘	2016-04-10 12:40:06
18		2016-04-07 11:30:12
19		2016-04-07 11:25:17
20	Трудная ты женщина, -сказал он ей.  -Нет, -сказала она. -Но я такая простая-не сразу поймешь	2016-04-07 11:18:49
21	Мое счастье в жизни состоит из отдельных минут, из маленьких удовольствий от поцелуя, улыбки, доброго взгляда, сердечного комплимента, добрых мыслей и искренних чувств... ❤️	2016-04-07 11:17:47
22		2016-04-06 10:56:28
23	❤❤❤	2016-04-06 10:55:00
24		2016-04-06 09:56:30
25	👀	2016-03-26 15:41:36
26	💐 За 10 минут до того, как я проколола колесо в этих дурацких и незаметных ямах под лужами 😫😠💦	2016-03-24 12:43:10
27	#sister #family #love ❤️❤️❤️	2016-03-13 11:30:19
28		2016-03-08 15:45:30
29		2016-03-08 15:45:14
30	Ах, как я была влюблена, мой друг,  И что теперь 🎤	2016-02-25 13:13:00
31		2016-02-25 12:19:24
32	🎶	2016-02-23 17:31:51
33	"❤️❤️❤️ @ Горнолыжный Центр ""банное"	2016-02-21 17:19:36
34	#happyvalentinesday ❤️	2016-02-14 20:15:00
35		2016-02-12 15:02:26
36	Как и у всех, будут и слёзы и смех, но мы вместе преодолеем сотни помех. 💞	2016-02-10 14:14:22
37	💞	2016-02-10 14:14:14
38	🎤🎧	2016-02-09 16:10:31
39	Сегодня я самая счастливая и довольная 😊🐾🐶❤️	2016-02-08 15:31:01
40	😂😂😂	2016-02-06 13:18:34
41		2016-02-06 11:36:58
42	🎤🎶	2016-02-02 14:57:13
43		2016-02-02 14:01:36
44	😘	2016-01-24 17:13:15
45	Ни одного набранного кг за новогодние праздники 😕 как и за последнии 9 лет 😕 только Слава знает сколько я на самом деле много ем 😄🙈🐽🐷🐘	2016-01-21 13:39:11
46		2016-01-14 11:48:14
47		2016-01-13 21:32:49
48	"Сегодня я в образе матрешки 😄 в голове играет песня Виа Пламя - ""Снег кружится, летает, летает"" ❄️🎶"	2016-01-11 14:06:18
49	С Рождеством Христовым! В этот светлый праздник хочется пожелать мира и спокойствия в каждом доме, добра, взаимопонимания, достатка, любви, счастья и душевного равновесия! Пусть оправдаются все ожидания и сбудутся самые заветные мечты! 😊	2016-01-07 10:39:53
50		2016-01-02 14:27:32
51	Всех успела причесать и накрасить 💄💋🎁	2016-01-01 15:28:23
52	С Новым годом!!! 🎄🎅🏻💃💃💃🎁🎉🎉🎉	2016-01-01 00:42:29
53	Всем любви в новом году ❤️❤️❤️	2015-12-28 13:35:15
54	Две недели до Нового года 🙀😍🎄🎀🎁🎉🎅🏻 я срочно наряжать елочку 💃🎄🎄🎄	2015-12-17 11:11:57
55		2015-12-15 18:55:44
56		2015-12-15 18:52:06
57	Гуляем с любимым ❤️❄️ @ Магнитогорск Урал	2015-12-10 14:53:49
58	❄️⛄️	2015-12-10 14:53:38
59	❤️❤️❤️❤️❤️❤️❤️ Зельвин Горн Есть цвет особый - цвет любви...  Есть цвет особый - цвет любви... Его вы не найдете в списке, Где цвет зеленый -для травы, А голубой -для синевы, Когда рисуешь кистью небо, А белый - для фаты и снега А черный - для угля и крепа...  Есть цвет особый - цвет любви, Цвет самый важный, самый лучший, И самый ценный, самый нужный, И со цветами всеми дружный: Мешай с чем хочешь без сомненья - И в цвет другой добавишь пенье.  Он цвет особый - цвет любви. Его возможно даже слушать, Вдыхать как аромат фиалок. С ним даже сумрак сразу ярок... Он цвет особый -цвет любви.  Им можно скрасить скудный ужин, И лица молодить старушек, И врачевать людские души, Когда от боли хоть реви.  Он цвет особый - цвет любви.	2015-12-06 23:29:42
60		2015-12-03 12:29:10
61	#family #sister #love ❤️ @ La Caramell	2015-11-28 18:54:35
62	Как же я не люблю чистить машину от снега по утрам 🙈🙈🙈 обычно я просто включаю дворники, опускаю стекла и начинаю быстро ехать что бы снег сам осыпался 😄❄️🚘#леньматушка	2015-11-26 12:10:08
63		2015-11-22 18:44:57
64		2015-11-21 15:55:07
65	💞	2015-11-18 20:37:04
66		2015-11-12 14:01:16
67	❄️❄️❄️	2015-11-09 11:02:58
68		2015-11-04 21:54:01
69	Выходные 🎉 в кино, по магазинчикам 💃🏼	2015-10-22 18:00:52
70		2015-10-21 10:24:40
71	💞	2015-10-21 10:23:30
72	К зимнему сезону отрезала 6 см волос 💇🏼😣 чувство как будто карешку сделала 😄🙈 #грусть #печаль	2015-10-17 07:31:30
73	🎧🌸	2015-10-14 12:40:09
74		2015-10-09 21:23:18
75	Спасибо Полине Злоказовой за эти фотографии ☀🍂	2015-10-09 20:54:04
76		2015-10-09 20:50:55
77		2015-10-09 20:43:37
78		2015-10-09 20:38:04
79	🌸🌸🌸	2015-09-30 10:26:34
80	#family ❤️❤️❤️	2015-09-30 10:26:02
81		2015-09-30 10:23:14
82	🌸🎶	2015-09-30 08:26:48
83	🍁🍂💭	2015-09-28 10:17:44
84	💞	2015-09-14 10:29:25
85	Незабываемый день! #свадьба 👰🏼💐💃🏼	2015-09-14 10:28:55
86		2015-09-10 10:38:14
87		2015-09-04 16:59:48
88	Прекрасная погода, прекрасный день ☀️	2015-09-04 16:59:33
