post_id	text	date
1	Я победил в костях, набрав 4 000 очков!	2016-05-19 23:25:08
2	Родилась дочка Все хорошо 4200 кг 52 см Дважды папа))))))))	2016-05-12 07:20:49
3	8кк как и обещал	2016-01-03 10:52:35
4	8кк в 10 30 по мск	2016-01-03 09:01:29
5		2015-11-15 13:23:13
6	Буду бить только при акции на яд 10кк лайки и репосты ускорят добавления	2015-09-16 09:24:09
7		2015-03-30 15:28:09
8	"наконец собрал сет ""Русский дух"""	2014-09-12 20:30:16
9		2014-08-03 19:49:58
10	на осенней глобалке при акции усиления яда на 50% урон 1кк жульбанов в соло лайк репост приветствуются	2014-06-05 10:57:39
11	по окопу на свое усмотрение	2014-04-01 21:37:32
12	Добавления по тюряге от 50к	2014-04-01 21:36:55
13	Фартануло! Крути, братишка, сыграй - и тебе повезет!	2014-01-29 17:54:16
14	Я получил 75 уровень!	2013-12-25 20:32:17
15	зашел на стр ставь лайк	2013-11-26 20:35:24
16	Куш срывает тот, кто играет! Крутани разок – выиграй!	2013-10-28 08:42:03
17	Фартануло! Крути, братишка, сыграй - и тебе повезет!	2013-10-23 07:46:06
18	Фартовых пацанов надо знать в лицо! Расскажи всем, и тебе повезет!	2013-10-12 08:12:51
19	Фартовых пацанов надо знать в лицо! Расскажи всем, и тебе повезет!	2013-10-01 07:12:29
20	Пруха косяком пошла! Просчитай систему и будешь всегда в наваре!	2013-09-26 08:56:14
21		2013-08-29 04:54:09
22	Куш срывает тот, кто играет! Крутани разок – выиграй!	2013-08-29 04:50:08
23	http://vk.com/id89210224 500к урона 10к рубликов	2013-05-22 22:51:13
24	стал отцом	2013-02-20 13:23:54
25	Теперь я в бригаде Наследники	2013-02-13 19:44:16
26	У меня 350 уровень.	2013-02-10 09:25:04
27	мега кореша добавляйте 100к урона 5к рубликов 200 ядов http://vk.com/id95139417 http://vk.com/id153940709	2013-01-21 09:47:10
28	продаю нычки писать в лс есть все коллекции	2013-01-21 09:46:28
29	30 самых ожидаемых фильмов!  1. Железный Человек 3 (2013) 2. Трансформеры 4 (2014) 3. Новый Человек-паук 2 (2014) 4. Первый мститель: Другая война (2014) 5. Росомаха (2013) 6. Человек из стали (2013) 7. Война Миров Z (2013) 8. Зелёный Фонарь 2 (2014) 9. Тор: Царство тьмы (2013) 10. Бросок Кобры 2 (2013) 11. Форсаж 6 (2013) 12. Хэнкок 2 (2013) 13. Риддик 3D (2013) 14. 300 спартанцев: Расцвет империи (2013) 15. Голодные игры: И вспыхнет пламя (2013) 16. Стартрек: Возмездие (2013) 17. Рассвет планеты обезьян (2014) 18. Зловещие мертвецы: Черная книга (2013) 19. Оз: Великий и Ужасный (2013) 20. Джек – покоритель великанов (2013) 21. Астрал 2 (2013) 22. Гадкий я 2 (2013) 23. Корпорация монстров 2 (2013) 24. Хоббит: Нежданное путешествие (2012) 25. Мальчишник 3 (2013) 26. Очень страшное кино 5 (2013) 27. Люди Икс: Дни минувшего будущего (2014) 28. Забвение (2013) 29. Пункт назначения 6 (2013) 30. Паранормальное явление 5 (2013)	2012-11-26 10:41:33
30	У меня 300 уровень.	2012-11-20 19:08:13
