post_id	text	date
1	Все Равно очень Грустно! Уже забыл когда это было с красивой девушкой!	2016-05-11 19:27:51
2	Сделал сам.	2016-03-26 10:30:52
3	Такая ручка 500 страниц пробивает!	2016-03-26 10:29:41
4	Ни много надо до ума до вести но стрелять можно!	2016-03-13 08:02:39
5	Все зделал сам!	2016-02-12 19:17:48
6	"Смотрите ""подорожал свет?делай такой Генератор 220-380в.для дома. homemade Generator 220-380V."" на YouTube"	2016-01-29 20:14:41
7	"Смотрите ""KGB Ballistic Knife - American Style ""Spetsnaz"" Blade Update (homemade)"" на YouTube"	2016-01-29 19:47:04
8	"Смотрите ""СТРЕЛЯЮЩИЕ НОЖИ - СОВРЕМЕННЫЕ"" на YouTube"	2016-01-29 19:44:00
9	"Смотрите ""ЗИЛ ПКУ"" на YouTube"	2016-01-28 22:58:33
10	"Смотрите ""#3. СУПЕР САМОДЕЛКИ ТЮНИНГ 4Х4 6Х6 8Х8 (АВТО БЛОГ 2014)"" на YouTube"	2016-01-28 22:54:56
11	"Смотрите ""Мото самоделки сделанные своими руками"" на YouTube"	2016-01-28 22:34:28
12		2016-01-26 14:56:27
13		2015-12-16 17:52:00
14	"Предлагаю посмотреть видео ""Подача патрона  из магазина у винтовки Соболь"" на YouTube"	2015-12-11 21:48:04
15	"Предлагаю посмотреть видео ""Глушитель для 22lr из подручных материалов за 20 мин"" на YouTube"	2015-12-11 21:47:00
16	"Предлагаю посмотреть видео ""Мелкашка стрельба с глушителем и без тест Small-caliber rifle shooting with silencer от пистолета"" на YouTube"	2015-12-11 21:37:06
17	"Предлагаю посмотреть видео ""выстрел из мр654к капсулем жевело"" на YouTube"	2015-12-11 21:12:16
18	"Предлагаю посмотреть видео ""как сделать патроны из капсюлей для самодельного пистолета?_how to make ammunition of primers?"" на YouTube"	2015-12-11 21:07:52
19	"Предлагаю посмотреть видео ""Патроны .22 lr: обзор и сравнение характеристик"" на YouTube"	2015-12-11 20:58:41
20	"Предлагаю посмотреть видео ""Переделка пневмата мр 654к в боевой полная разборка"" на YouTube"	2015-12-11 20:36:17
21	"Предлагаю посмотреть видео ""Переделка пневмата мр-654к в боевой"" на YouTube"	2015-12-11 20:28:28
22	"Предлагаю посмотреть видео ""Самодельная мелкашка Low"" на YouTube"	2015-12-11 20:26:38
23	"Предлагаю посмотреть видео ""Самый маленький пистолет 5,6 мм."" на YouTube"	2015-12-11 20:26:13
24	тут интересно	2015-11-09 16:05:05
25	КАК СДЕЛАТЬ ПИСТОЛЕТНЫЙ СТВОЛ	2015-11-09 14:25:21
26	Датчик положения ротора электрического двигателя	2015-09-27 21:45:39
27	Здесь интересно!	2015-09-27 01:16:20
28	Дальнобой #1, Отказали тормоза, [Dalnoboy, brakes failed]	2015-09-25 18:59:05
29		2015-08-15 14:07:46
30		2015-08-15 14:03:43
31		2015-08-15 14:03:14
32		2015-08-15 12:56:25
33	Датчик скорости на Калине: предназначение, неисправности	2015-08-08 08:48:11
34	Глюки ЭУР	2015-08-07 17:22:24
35	Продам не дорого.	2015-05-31 13:57:30
36		2015-05-07 08:18:08
37		2015-04-24 06:14:25
38		2015-04-24 06:03:38
39	Расшифровка кодов неисправностей стандарта OBDII » Автоклуб - Форум, ремонт, обслуживание, диагностика автомобилей Nissan. Клуб автолюбителей бизнес и премиум класса Nissan: TEANA, CEFIRO, MAXIMA, CEDRIC, GLORIA, CIMA, FUGA, PRESIDENT, LAUREL, LEOPARD	2015-04-03 12:54:39
40	Обозначения на приборной панели	2015-04-01 07:23:46
41	b155738s-960.jpg	2015-04-01 07:14:24
42	Символы, значки, индикаторы и обозначения приборной панели автомобиля	2015-04-01 07:06:40
43	Всё о Renault Kangoo 2 • Просмотр темы - Электросхемы/ предохранители/ реле в Кангу2	2015-03-31 06:26:52
44	Расшифровка кодов неисправностей стандарта OBDII » Автоклуб - Форум, ремонт, обслуживание, диагностика автомобилей Nissan. Клуб автолюбителей бизнес и премиум класса Nissan: TEANA, CEFIRO, MAXIMA, CEDRIC, GLORIA, CIMA, FUGA, PRESIDENT, LAUREL, LEOPARD	2015-03-30 21:54:36
45	Расшифровка кодов неисправностей стандарта OBDII » Автоклуб - Форум, ремонт, обслуживание, диагностика автомобилей Nissan. Клуб автолюбителей бизнес и премиум класса Nissan: TEANA, CEFIRO, MAXIMA, CEDRIC, GLORIA, CIMA, FUGA, PRESIDENT, LAUREL, LEOPARD	2015-03-30 21:17:39
46	Коды ошибок Рено	2015-03-30 18:41:09
47	На панели горит —-h - Форум Клуба Рено	2015-03-28 23:11:02
