post_id	text	date
1	Море .. Что ещё надо ))?	2016-05-28 15:21:23
2	У нас сегодня пикник )) жара ))👍	2016-05-28 15:19:30
3	Сегодня мы посмотрели все красоты Севастополя !!! Очень красиво 😍	2016-05-27 18:10:47
4	Девочки я не налюбуюсь на такую красоту , которую мне сделали чудо мастера из https://m.vk.com/club121102194 😍😍😍 если вы хотите быть королевой вечера то вам обязательно туда !!!😎😻 и цены не кусаются 😉😋	2016-05-23 15:40:05
5	Ребята спасибо вам за чудесный вечер !!! Все было просто прекрасно !!! Отдельное огромное спасибо мастерам красоты!!! Девочки вы супер !https://m.vk.com/club121102194 !!! Это было незабываемо !!😍❤️❤️❤️❤️❤️❤️❤️	2016-05-21 22:04:24
6	Всем  позитива ребята !!! У нас сегодня свадьба 😍😍😍	2016-05-20 10:23:22
7	"Нам сегодня год и месяц❤️😘 пупса совсем большая)) 😍😍 Нелёгкий труд детей рожать, растить, стирать пелёнки. Пусть будет героиней мать для каждого ребёнка! Пускай хранит Мария-мать всех женщин на планете. И не устанут мамам дети повторять: ""Ты - лучшая мамулечка на свете!"""	2016-05-16 11:30:04
8	Мой инст 😜👍🏽	2016-05-13 10:14:41
9	За каждый шаг, за каждый вздох, за то что дал мне Бог. За боль, за счастье, за удачу, за то что я смеюсь и плачу, за то что я ещё люблю, за всё Тебя Господь благодарю.❤️😘	2016-05-12 16:36:33
10	Столько нарядов девчонки 😍😍😍 обращаемся к Яне Чернышевой 👍😎	2016-05-11 20:36:16
11		2016-05-08 17:02:35
12	Какой сегодня светлый день и столько позитивных эмоций 👏👏👏 спасибо вам мои родные кто рядом 😍😍😍	2016-05-01 14:56:56
13	Спасибо очаровательной Дашуле @dasha_dasha86  за классный мейк !!! Даша обязательно к тебе приду ещё ❤️❤️ https://vk.com/id4578271	2016-05-01 11:52:50
14	Христос воскрес друзья мои !! Всем Мира и добра 😘😘😘	2016-05-01 09:58:53
15	Скоро тёплые денёчки девочки ❤️❤️💃🏾пора за нарядами к нашей любимой Яночке))😎😘 ну просто морееееее классных шмоток 👍👍👍	2016-04-29 20:47:35
16	Ночки ...❤️	2016-04-26 21:40:32
17	Люблю не могу ❤️❤️	2016-04-24 16:07:41
18	Урааа!!!!мы чемпионы!!!	2016-04-20 08:06:10
19	Заюшеньке моей сегодня годик !!!❤️❤️❤️моё счастье маленькое !!😇😇как быстро время летит 😳💃🏾	2016-04-16 14:53:10
20	Доброго времени суток )😎	2016-04-12 11:10:18
