post_id	text	date
1	"23.05.2015г не стало тебя Любимый мой,Дедуля ( Твой волос не был с сединой,  Твои глаза добром блестели.  Уста твои и говор твой,  Слова с теплом произносили...  Я знаю - не увижу глаз,  Не стиснешь руки мои цепко.  Не будет больше громких фраз,  И не обнимешь крепко-крепко.  Твой голос слышу сквозь труну.  Я слышу, тихо, слово ""Внучка!...""  А слезы давят тишину,  И слов, дрожа, не пишет ручка.  Так пусть твой крест не покачнется,  Пускай твой дух найдет покой.  Пусть память сквозь года несется   И помни, Деда, я с тобой!!!"	2016-05-22 20:52:38
2	http://popishi.ru/id56777150 крутое приложение	2016-05-17 14:06:06
3	Мои любимые ушастики👄😘🐾🌛	2016-05-08 01:51:35
4	Наша Ася👄😘	2016-05-01 14:23:39
5	крутая	2016-04-19 14:31:38
6	жара	2016-04-16 21:59:02
7	— 2016 Год. Можешь ничего мне не приносить. Главное - Никого у меня не забирай.	2016-01-12 00:47:58
8	А там – на небе тоже суета  И ангел поедает мандарины...  Там облака в снежинках – красота.  И январю декабрь дышит в спину.  А в Новый Год за праздничным столом  Они здоровья нам всегда желают.  Им радостно за нас, что мы живем.  Они о нас частенько вспоминают…  То птичкою в окошко постучат,  То дверью скрипнут дома по привычке.  Нас напугать, конечно, не хотят, Но к нашим душам есть у них отмычки…  Они же видят,как в ночи грустим,  Смахнув слезу,уткнувшись в одеяло...  А нам покой души необходим, Хоть больно от того, что их не стало...  Когда часы пробьют 12 раз, И мы свои желанья загадаем,  Родные наши в небе пьют за нас  Напиток, о котором мы не знаем...   Безалкогольный, вкусный для души…  Там пахнет мандаринами повсюду.  Им вечно в наших душах жить и жить, Как нам – в их душах. Это ли не чудо?  Там Бог снежинки счастьем заправлял  И слал на землю к нам по просьбе близких…  И по бокалам радость разливал  Своим жильцам, и их родным по списку…  Я верю, там никто не одинок. Там светятся сердца, а не витрины.  И ангел, подуставший за денёк, Разносит нашим близким мандарины...	2016-01-01 16:23:12
9	Задай мне вопрос | ask.fm/oksanochka629669	2014-09-12 00:33:01
10	"Представь, что мама больше не придет, Не поцелует, не обнимет нежно, И ни слезинки больше не прольет, Не улыбнется вроде безмятежно.  ""Люблю"", - не скажет с чувством и душой. Не будет в ожиданье волноваться. О жизни не заговорит с тобой, И в шалостях не сможешь ей признаться.  Ты не увидишь яркие глаза, И добрые морщинки от улыбок. Ты с ней не посмеешься никогда, И не признаешь перед ней ошибок.  А мамочка рукой по волосам Не проведет - лишишься этой ласки. Не дашь свободу тихим злым слезам, Тупую боль храня под камнем маски.  Философы, родные и друзья: Все будут утверждать, что время лечит. Но лечит только сердца теплота, Та теплота, что с мамой уйдет в вечность.  Но это будет не сейчас, потом. А время, как в руке снежинка - тает. Цени все то, что маминым трудом Есть для тебя. И маму, что прощает."	2014-07-06 01:41:55
