post_id	text	date
1		2016-04-30 06:32:16
2		2015-08-29 21:34:22
3		2015-05-16 04:55:50
4		2015-05-10 09:40:56
5	С первым днём зимы:3	2015-04-06 06:02:34
6		2015-02-11 09:00:05
7		2015-02-08 13:36:13
8		2015-02-04 03:15:07
9		2015-01-28 17:08:11
10		2015-01-26 12:28:28
11		2015-01-20 21:16:14
12		2014-12-25 23:13:15
13		2014-12-14 14:36:36
14		2014-12-10 10:17:15
15		2014-12-06 20:20:00
16		2014-12-06 19:47:51
17		2014-11-29 16:04:57
18		2014-11-29 15:39:09
19		2014-11-28 14:59:57
20		2014-11-28 14:43:10
21	Даааа!	2014-11-28 05:10:43
22	Пожалуй хватит)	2014-11-26 04:47:12
23		2014-11-24 23:14:22
24	1%	2014-11-24 11:49:25
25	Это космос детка	2014-11-17 15:04:09
26	Каких то 5%	2014-11-06 21:21:54
27	Ещё чучуть)	2014-10-25 09:49:01
28		2014-10-17 02:48:15
29		2014-10-10 12:50:49
