post_id	text	date
1		2016-05-16 12:38:57
2		2016-05-08 23:15:12
3	Для тебя в нашем доме уют, Для тебя поцелуй самый нежный, Сотни теплых и чистых минут. Пусть буран за окном белоснежный...  Для тебя, моя радость, мой муж Позову злой зимою я лето, И законы природы нарушу, Для тебя, самый лучший мужчина на свете!	2016-02-13 22:34:24
4	В юбилей тридцатый твой, милый друг мой будь собой! Я всегда тебе так рада, смех твой для меня награда! Обрети мечты цветные и монеты золотые!!!	2016-01-09 00:04:34
5		2015-12-30 09:57:51
6		2015-12-24 23:26:19
7		2015-10-27 18:38:25
8		2015-10-19 14:26:57
