post_id	text	date
1		2016-04-18 17:28:07
2		2016-02-25 20:43:35
3		2016-01-15 18:46:48
4		2016-01-09 21:18:08
5		2015-11-19 21:19:12
6	"Как хочется куда-нибудь на речку с удочкой, пивком и табличкой: ""Осторожно! Злая, уставшая женщина!"" 😄"	2015-09-11 13:04:46
7		2015-07-28 20:20:54
8		2015-07-27 21:21:14
9		2015-05-08 11:34:53
10		2015-04-23 15:43:47
11		2015-04-23 15:43:23
12		2015-04-23 15:42:14
13	***СНЕЖИНКА***	2013-12-29 13:13:52
14		2013-11-15 21:46:48
15		2013-10-12 12:44:37
16		2013-10-12 12:44:10
17		2013-10-06 11:45:54
18		2013-10-05 10:03:00
19		2013-09-29 13:35:37
20	Деньги - это зло. Заходишь в магазин и зла не хватает!	2013-09-28 18:27:53
21		2013-09-25 12:14:56
22		2013-09-23 20:03:04
