post_id	text	date
1	Доченька, Солнышко на небе золотое, Звездочка блестящая моя. Ты мое сердечко дорогое И на ветке птичка певчая. Облачко по небу проплывает, В поле распускаются цветы, Лепестки бутончик распускает, Доченька родная – это ты. Ты мой милый розовый комочек Самый близкий, самый дорогой, Ты мой нежный аленький цветочек Самый добрый, умный и родной. Ты моя любовь, моя надежда Ласточка небесная вдали. Ты моя душа и моя нежность, Господи тебя благослови!	2016-05-28 08:11:02
2	Гуляем с моими любимыми) люблю их безумно))) доченька ягодка наша)	2016-05-07 21:13:29
3	Я живу для нее, я дышу только ею. Я ловлю каждый взгляд, от улыбки балдею. Ты мое чистое, невинное дитя. Расти счастливой доченька моя. Все сделаю родная для тебя. Быть мамой - счастье для меня 💛	2016-04-30 07:52:06
4	Мои любимые) люблю их очень сильно)	2016-04-26 04:03:26
5	Мои девчули)))	2016-04-23 19:49:42
6	Моя лапочка)	2016-04-23 18:07:12
7		2016-03-20 12:20:00
8	Мои родные, люблю их безумно. Отдых))	2016-03-17 15:50:32
9	Доча кормит голубей)) моя ягодка)	2016-03-16 14:54:37
10	Моя сладкая девочка)	2016-03-16 09:55:32
11	Отдыхаем) с моими родными) люблю их!	2016-03-15 14:25:32
12		2016-02-26 07:48:59
13	))Шарж))	2016-02-22 17:32:56
14		2016-02-21 13:29:22
15	Моя малышка)) люблю ее безумно))	2016-02-14 11:58:26
16	Наша малявка))	2016-01-21 16:52:17
17	Всем известно, что мужчина Страстно ждет рождения сына, Только дочь с течением дней Обожает все сильней.  Теплый маленький комочек, Кружевной смешной кулечек, Пусть пока в ней мало веса, Дочка — папина принцесса.	2016-01-19 09:47:38
18	Мои любимые, гуляем))	2016-01-17 21:27:44
19	Гуляем)) мои родные, люблю их)	2016-01-16 10:26:52
20	Мой ангелочек. Моя жизнь. Любимая доченька.	2016-01-01 13:14:25
21	Еще одна елочка. Моя радость, моя доченька. Люблю ее безумно.	2015-12-29 20:35:27
22	мои любимые)люблю их)	2015-12-28 13:35:13
23	наша первая ёлка))))люблю свою маленькую принцессу)	2015-12-28 13:34:44
24	моя ягодка )	2015-12-28 13:32:47
25	У нас пополнение в семье) наша маленькая прелесть	2015-12-15 20:26:34
26	Мой дружочек, мой цветочек, Красотулечка моя!  Много есть на свете дочек, Но одна ты у меня!  Попрыгунчик-смехотунчик, Словно мячик озорной!  Как люблю тебя, мой лучик! Будь всегда, всегда такой!	2015-12-05 07:57:21
27	Вот такую красоту нам вышила бабуля)	2015-12-03 15:08:48
28	Лапочка моя любимая)	2015-12-03 15:08:09
29	Мои любимые)	2015-11-27 20:19:08
30	Радость моя)	2015-11-26 21:01:56
31	Ягодка моя	2015-11-15 09:43:44
32	Годик нашей принцессе )	2015-11-13 21:09:08
33	Моя любимая доченька, радость моя)	2015-11-13 21:07:21
34		2015-11-05 23:09:37
35	Вот и прошел уже целый годик как родилась наша девочка, наш ангел, наша жизнь, наша любимая Викулечка! Мы с папой желаем тебе быть Самой Счастливой, умной,что бы всегда была здорова наша красот очка, любимая девочка. Мы очень любим тебя наша ягодка! Будь счастлива мы все сделаем для этого. Очень сильно любим тебя наша принцесса! С днем рождения малышка!	2015-11-05 10:15:17
36	Моя сладкая ягодка, люблю ее)	2015-10-16 08:24:47
37		2015-09-25 08:49:57
38	Пушистики) кролики)и мои любимые.	2015-09-12 21:15:33
39	Доченька, любимая ягодка моя)	2015-09-09 20:43:36
40	Мои родные, люблю их)	2015-08-28 11:40:14
41	Моя малышка, люблю ее безумно)	2015-08-25 20:37:26
42		2015-08-14 21:13:20
43	Наша маленькая радость)	2015-08-02 19:20:13
44	Ягодка моя любимая)	2015-07-27 09:33:21
45	Отдыхаем)))	2015-07-27 09:32:16
46		2015-07-27 09:20:09
47	)))	2015-07-11 10:25:44
48	Маленькая ты наша, мы по тебе очень сильно скучаем, нам тебя не хватает(((((((	2015-06-28 04:01:02
49	Большое всем спасибо кто делал репост, нашли мы нашего рикушу)	2015-06-27 18:34:12
50		2015-06-26 22:46:20
51	Отдыхаем)))	2015-06-24 19:10:00
52	Мои родные)) люблю их безумно))!	2015-05-27 03:52:30
53	Гуляем))	2015-05-24 20:39:50
54	Тортик на полугодие Викуле)))	2015-05-07 08:05:29
55		2015-04-26 03:12:20
56	Моя любимая ягодка! Люблю ее безумно!!!!	2015-04-25 08:42:53
57	Моя прелесть	2015-04-17 06:38:39
58		2015-03-21 10:31:18
59		2015-03-15 20:10:21
60		2015-02-17 18:49:41
61		2014-12-30 08:58:23
62		2014-12-22 20:40:28
