post_id	text	date
1	Задай мне вопрос | ask.fm/Samanta2905 💃🙆	2016-02-08 20:41:18
2	#21_04_16#наконецто #яподстриглась 😌😇💁 #до_и_после 😎💫💇 @ Магнитогорск	2016-04-21 15:09:33
3	#09_04_16#туса#пати#япобедительпожизни#чернаякомнатамгн#спасибозавечер☺😎😇✨  @ Пиранья Клуб💃👠👯✌	2016-04-12 15:11:00
4		2016-03-28 02:55:04
5	"#23_01_16 #t1one #часть2😎💃👯🙌 https://www.instagram.com/p/BBLLf9cjAMg/ @ Бильярдный Клуб ""универсал"""	2016-01-30 22:20:55
6	"#23_01_16#ркуниверсал#t1one#простомореэмоций#приезжайеще#всебылонавысоте 😻💃👯👍✌ @ Бильярдный Клуб ""универсал"" ☺😎✨ http://vk.com/wall58767101_5994 http://vk.com/wall-66118569_876871"	2016-01-24 22:53:30
7	#21_01_16#спектакльокончен#неплохоотдохнули💃👯✌#навыходныхоторвемся  @ Пирамида	2016-01-21 19:31:23
8		2016-01-18 13:54:01
9	#14_12_15#зачетсдан #однойпроблемыменьше💃👯✨🙈😃😎 @ Многопрофильный колледж при МГТУ *МПК*	2015-12-14 15:19:24
10	💞 👑 ☺	2015-12-05 20:21:30
11	#9_11_15😂😎😇💃#УниверсалНаташаВсеБылоКруто#спасибозабоулинг😚🎱🚀☺  @ Magnitogorsk	2015-11-09 21:10:32
12	Instagram: @samanta.2905 📱 🌃 🎭 👑	2015-10-31 01:29:10
13	#24_10_15#вписон#Птв13-2отдыхают#давайдиджейпорвиколонки😎😇💃👯✨  @ Банное, Зелёная Поляна, Посёлок.    📡🎤🎸🚘 https://instagram.com/p/9TMImmjAFe/	2015-10-26 14:29:12
14	☺ 😇 ✨ 💓	2015-10-01 21:27:55
15		2015-09-27 17:57:31
16	#27_09_15#осенняя#прогулка🍂☀😇🙈 @ Россия Магнитогорск https://instagram.com/p/8I0idujAB7/	2015-09-27 17:43:45
17	#27_09_15#greenmodels#платформа 😃😎💃👯👑 @ Magnitogorsk https://instagram.com/p/8I0ORKDABL/	2015-09-27 17:40:59
18	#21_09_15#skyCinema#3пара✨🙈✌🎥 на пары забили🔨☺💃 Бегущий в лабиринте. Испытание огнем. 😎🙌 @ Континент Магнитогорск	2015-09-21 11:27:53
19	#15_09_15#reebok#весна✨📱🏆  @ Магнитогорск Урал https://instagram.com/p/7qafrjDAPx/	2015-09-15 22:18:55
20	#29_08_15#mysister👭✨👻 @ Челябинская обл.,г.Карталы https://instagram.com/p/6-OldYjAO-/	2015-08-29 20:02:00
21		2015-08-25 16:33:23
22	#25_08_15#ЛеснаяСказка#стрельбаСарбалета😃😎💫 @ Аквалайн https://instagram.com/p/6ztuUVDABw/	2015-08-25 16:28:47
23	#22_08_15#Пласт#ЛеснаяСказка😌✨💃🌷🍹 @ Парк Гагарина http://vk.com/wall132097604_3016	2015-08-22 14:46:00
24	#21_08_15#ПутьвЧелябу😃🏃🚘  @ Исакова https://instagram.com/p/6rxY-cjAEh/	2015-08-22 14:26:52
25	#13_08_15#Лукино🐎 😎 @ Курган, Лукино  🏇 ✨ https://instagram.com/p/6Ur4rbjAHe/	2015-08-13 15:16:13
26	😎 ✨ 💃	2015-08-10 14:09:20
27	#22_07_15#ВерховаяЕзда#Лукино#КоннаяФерма😎✌🐎  @ г.Курган, Лукино 🏇 🏁 https://instagram.com/p/5hF68ZDABH/	2015-07-24 14:24:44
