post_id	text	date
1		2016-05-15 14:18:44
2		2016-05-01 16:57:00
3		2016-04-28 17:30:45
4	Коротко о матче))))	2016-04-09 19:33:15
5	Победа!!! Ура!!! Ждем понедельник с нетерпением!)))))	2016-04-09 19:28:51
6		2016-04-02 18:09:08
7	♣ ♣ ♣ ♣   Уважаемы представители компаний: Avon, Oriflame и прочей лабуды-я Вас ооооочень прошу, умоляю, заклинаю и т.д. обходите мимо мою страницу, меня не интересует заработок и карьерный рост с зарплатой до 100500миллионов миллиардов тысяч рублей, судя по вашим фото, Вы просто купаетесь в деньгах и ваше дело цветет и пахнет как ромашки бабы Зои. Вы меня бесите настолько, что каждая заявка в друзья заставляет меня испытывать будоражащий ужас, я каждый день становлюсь на три-четыре(стабильно) волоса седее, оставьте бедного человека в покое Христа ради, во имя помады, геля для душа, скраба. Шампунь.	2016-03-30 18:23:36
8		2016-03-25 17:27:17
9		2016-03-17 04:55:49
10		2016-02-06 23:23:08
11		2016-01-24 07:34:53
12	https://ask.fm/id90173818	2016-01-23 17:06:46
13	Ахах😃 ну а вдруг..	2016-01-10 16:07:12
