post_id	text	date
1		2015-10-20 21:09:34
2		2016-05-26 19:42:33
3		2016-05-26 14:10:02
4	Мама приехала😗😍✌👍	2016-05-17 14:35:27
5	Говешка наша))🐾🐾	2016-05-03 20:45:56
6	Коровушка😎	2016-04-18 19:00:19
7		2016-03-16 17:11:26
8	С праздником девочки💋👄❤👑🎀🌹🌹🌹🌷🌺🌸🌹🌸🌷	2016-03-08 07:29:36
9	Непослушная говешка😈🐕🐶🙅	2016-01-15 23:39:32
10	Коротко о том как я ем))))	2016-01-14 18:07:04
11	✌💖💖	2016-01-03 20:40:48
12	Было оооооочень круто👌👍👍	2015-12-20 20:33:12
13	🙆😻✌	2015-12-20 18:34:37
14		2015-12-18 16:23:51
15		2015-11-27 10:48:49
16		2015-11-13 22:34:45
17	😽😻	2015-11-12 11:37:44
18	Мои любимые😍😘😙😚😗	2015-11-12 09:29:34
19	😗😙😘✌❤	2015-10-20 21:58:42
