post_id	text	date
1		2016-05-28 07:57:39
2	**,	2016-05-25 05:55:58
3	Зайчик 😚	2016-05-18 22:25:46
4	Красавчик мой 😚	2016-04-22 23:28:33
5	Училка моя 😚	2016-04-12 18:03:47
6	Любимая Сона**,	2016-04-09 21:51:24
7	Сидела вчера в макдональдсе, напротив мужик сидел. Такое лицо знакомое, а фамилию не могла вспомнить. И вот сейчас до меня доперло, что это был Морозов А.О. С депутатами я еще не толстела😊	2016-04-09 19:17:53
8	http://vk.com/clubportretosart	2016-04-07 17:05:28
9	Мужчинки Мои😚	2016-03-16 18:50:36
10	Ностальгия. Часть 1	2016-03-14 18:19:36
11	Ностальгия. Часть 2	2016-03-14 18:19:14
12	Ностальгия. Часть 3	2016-03-14 18:18:16
13	Моей лапочке 7 месяцев  😚	2016-03-14 13:34:30
14		2016-03-14 13:09:39
15	Первый раз в манеже😊	2016-03-09 09:01:02
16	Кто как празднует 8 марта, а я сыночка крестила! :) 😚	2016-03-08 13:45:28
17		2016-03-08 13:40:54
18	😚	2016-03-02 15:32:15
19		2016-03-01 20:27:54
20	Др Лили😚	2016-02-27 18:10:55
21	Сегодня нам пол года!! Люблю сильно!!  😚 😚	2016-02-14 14:37:34
