post_id	text	date
1		2015-07-09 11:41:28
2		2015-09-27 17:55:33
3		2015-09-18 18:36:33
4		2015-09-17 19:31:32
5	http://exactmoney.ru/?ref=uJirm4XWtm	2015-05-09 23:37:30
6		2015-04-20 18:27:46
7	nsfw	2015-03-21 12:48:58
8		2015-03-17 15:57:30
9		2015-03-17 15:57:21
10	http://ru.aliexpress.com/wholesale?SearchText=%D0%A7%D0%B5%D1%85%D0%BE%D0%BB+%D0%B4%D0%BB%D1%8F+iphone+5c&amp;enSearchText=Case+for+iphone+5c&amp;CatId=0&amp;shipCountry=ru&amp;initiative_id=SB_20150313095254&amp;page=6	2015-03-13 21:07:37
11		2015-01-28 19:03:12
