post_id	text	date
1	Задай мне вопрос | askfm.im/Izvekova	2015-03-09 11:31:34
2		2016-05-24 16:28:16
3		2016-05-19 03:52:22
4	😎✌👊🇷☺😊	2016-04-23 10:02:54
5	😍👸💗моя радость💋💅💃👑люблю 💗	2016-03-20 21:10:29
6	Девочки мои любимые ,с Днём Рождения😚  Огромное спасибо вашим родителям, ведь они подарили мне таких прекрасных подруг, которых я безумно сильно люблю! ❤🎂🙏	2016-03-08 10:38:24
7		2016-01-31 22:06:44
8		2016-01-04 16:25:34
9		2015-12-13 15:37:52
10	✌☺	2015-09-28 21:41:28
11	😍 💃 💋	2015-09-10 19:46:29
12	💋роднулечка,я буду очень скучать😥	2015-08-21 23:11:13
13	😍💄💃✌	2015-07-26 14:25:16
14	❤️❤️❤️	2015-02-20 22:15:41
15	моя маленькая😚  уже скучаааааааааааааю:*	2015-01-15 20:59:04
16	Перемены✌💞	2015-01-11 19:10:18
17	С новым годом!!! С новым годом россияне!!! ✌🎄💞 Родные  я люблю вас😚	2015-01-01 09:08:13
18		2014-12-24 20:59:12
19	Подготовка к Рождеству!	2014-12-22 14:40:52
20	🐾Уж если девушка решила кого-то сделать счастливым, то этого бедолагу уже ничто не спасет...	2014-06-05 09:10:54
21	✌	2014-05-19 18:25:09
22	Уважение к старшим должно быть на первом месте 👆😌	2014-04-06 10:59:41
23	Счастье-это когда родители живы и здоровы.а остальное само наладится.♥	2014-03-14 19:50:32
24	Девушки сильнее всего привязываются к парням, которые умеют слушать, показывать нежность и смешить.)👌	2014-03-11 20:22:40
25	Сдалаааааааааааа!!!! Аее)✌	2014-01-03 09:46:20
26	"Сильное.поучительное видео. Много смысла,задумайтесь!  трогает..  ""Пусть всё у тебя будет в порядке на дороге,не забывай собираться с мыслями и сосредотачиваться,как перед экзаменом,каждый раз когда заводишь двигатель,и постарайся быть на дороге понятным и предсказуемым для всех."	2014-01-02 08:30:30
