post_id	text	date
1		2016-03-16 10:38:01
2		2016-03-14 11:05:34
3		2016-02-29 14:57:53
4	Фраер местный !	2016-02-27 15:12:55
5		2016-02-16 13:09:10
6	клёвый трек	2016-02-16 10:20:48
7		2016-02-14 07:29:18
8	С Днём святого валентина Любите друг друга !	2016-02-13 22:33:51
9		2016-02-11 22:01:55
10		2016-02-09 16:10:50
11		2016-02-09 16:10:21
12		2016-02-09 16:10:17
13		2016-02-09 16:10:07
14		2016-02-09 16:10:00
15	Не верь , не бойся , не проси.	2016-01-05 08:42:13
16		2016-01-04 19:18:13
17		2016-01-03 15:26:52
18	Все твои друзья уже женились давно, детей завели, кучу кредитов взяли, а ты продолжаешь жить в свое удовольствие. НУ И МРАЗЬ ЖЕ ТЫ.	2015-12-31 09:10:01
19	и Я	2015-12-24 09:40:25
20		2015-12-23 03:45:05
21	Просто я люблю, когда меня любят. Ну очень мне это нравится. Отличная вещь. Вообщем всем рекомендую меня любить.	2015-12-17 07:56:44
22	Хочешь сделать кому нибудь больно , просто стань успешней !	2015-10-30 15:15:39
23	опа тарарараааааааааааааааааа	2015-10-18 20:12:16
