post_id	text	date
1	Спасибо большое 😍👍	2016-05-09 16:47:39
2	Ну вот, сегодня последний день моего отдыха. Спасибо тебе, Италия! Ты придала мне силы на дальнейшую работу. Конечно же, не хочется уезжать и снова окунаться в океан проблем. Но все хорошее когда-нибудь кончается. Надеюсь, что я ещё вернусь. Спасибо за праздник! Было здорово!  P.S.: все тела разрисованы	2016-05-08 00:02:07
3		2016-05-07 19:11:32
4	Тепло вернулось  🌴🌺	2016-05-03 16:04:32
5		2016-04-30 17:50:17
6	😊	2016-04-30 17:20:29
7		2016-04-30 16:39:33
8		2016-04-29 22:47:08
9	Спасибо большое 😘	2016-04-07 13:17:00
10	Подарили на 8 марта Спасибо большое ❤️😘	2016-03-05 11:37:16
11	💩	2016-01-29 18:24:38
12		2016-01-29 15:09:45
13	Это был Новый год ❄️	2015-12-31 23:38:40
