post_id	text	date
1	#🙈🐶	2016-05-25 14:00:03
2		2015-12-03 00:06:23
3		2015-08-06 13:04:12
4		2015-07-14 10:02:13
5		2015-05-22 13:49:41
6		2015-01-01 23:44:44
7		2014-10-25 21:29:20
8		2014-06-30 22:00:58
9		2014-06-30 20:37:41
10		2014-05-23 17:24:45
11		2014-04-16 07:18:09
12		2013-12-29 23:00:24
13		2013-08-26 17:31:45
14		2013-08-26 17:30:46
15		2013-08-22 14:31:13
16		2013-08-03 20:25:19
17		2013-07-05 19:20:41
18		2013-06-11 19:15:45
19		2013-06-07 10:16:09
20		2013-06-05 22:06:05
21		2013-05-06 08:44:13
22	:*	2013-05-01 21:20:48
23		2013-04-20 22:42:51
24	Я не стремлюсь нравиться людям. Тем, кому надо, я уже нравлюсь.©	2013-04-04 13:31:45
25		2013-04-02 19:30:36
26		2013-03-27 21:50:44
27	хочу сделать фотографии самых ярких моментов жизни и обклеить ими стены комнаты	2013-03-12 16:43:32
28	Не ждите, когда закончите институт, когда родятся дети. Хватит ждать, когда начнете работать, когда уйдете на пенсию, когда женитесь, разведетесь. Не ждите вечера пятницы, утра воскресенья, покупки новой машины, новой квартиры. Не ждите весны, лета, осени, зимы. Минуты счастья – драгоценны, это не конечный пункт путешествия, а само путешествие. Работайте – не только ради денег, любите – не в ожидании расставаний. Танцуйте – не обращая внимания на взгляды. Самая ужасная ошибка, которую вы можете совершить – это всю жизнь гнаться за целями, не замечая как мимо вас пробегает ваша жизнь..	2013-03-02 20:04:24
29		2013-02-04 17:51:42
30	Ну что же, всего один день...провидите его так что бы запомнился, удачи всем:)	2012-12-19 23:32:14
31	Живи как спанч боб - смейся без всякого повода и раздражай унылых людей своим счастьем.	2012-12-10 15:53:37
32	ЭТО Я,КОГДА ПРОШУ ПАПУ КУПИТЬ ЧТО-НИБУДЬ. ПАП НУ КУПИ НУ КУПИ А НУ КУПИ А.	2012-12-06 23:35:04
33	За 20 минут можно вытерпеть любое действие, которые вы совсем не хотите делать. Это хороший способ начать что-то делать, бороться с ленью и повысить свою мотивацию.	2012-12-06 22:16:57
34		2012-11-30 16:53:45
35	Мне часто в детстве говорили, что я очень добрая и милая девочка... В общем - сглазили, сволочи...	2012-11-25 21:38:08
36	Вы ошибаетесь, если говорите, что знаете меня. Каждый знает меня настолько, насколько я позволяю себя узнать.	2012-11-01 00:24:55
37		2012-10-30 21:29:12
38		2012-10-28 23:48:21
39		2012-10-10 23:00:21
40		2012-09-18 22:42:27
41	Мой результат: 13.511 секунд! Слабо больше? Если продержишься 18 секунд - ты гений! Заходи: http://vk.com/app3103965	2012-09-18 21:32:44
42		2012-09-06 23:10:20
43	Почему люди,когда встречаются взглядом, не важно где, на улице, в магазине или даже в маршрутке, они не решаются подойти к друг другу, из за простого стеснения, они молча уходят... смотря друг другу в след... (с) Евгения Моисеенко	2012-08-21 00:45:24
44	Я готова уйти из этого мира. Я думаю, я так и сделаю. Я пошла спать.;)	2012-08-14 00:59:12
45		2012-08-13 23:43:51
46		2012-06-12 23:00:20
47		2012-06-05 22:31:51
48		2012-05-24 16:25:17
49		2012-05-14 22:15:04
50		2012-05-07 22:21:34
51	Я на Спрашивай.ру	2012-04-16 21:58:54
52		2012-04-16 21:30:20
53	Я на Спрашивай.ру	2012-04-05 18:35:14
