post_id	text	date
1	😉 балует меня));-) 😚	2016-05-28 17:48:37
2	С праздничком мужчины)))	2016-05-28 11:03:50
3		2016-05-27 13:59:09
4	😘🌻🌼🌺🌷💑	2016-05-14 19:25:32
5	Радовать нужно уметь....а у него это получается изЮмительно🌼🌻🌹🌸☺😊😘	2016-05-06 14:06:29
6	Как и обещал гороскоп,вот они приятности💋💐🌷спасибо тебе😘	2016-05-01 07:36:46
7		2016-04-29 11:36:58
8	🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈	2016-03-19 11:08:10
9	👯💃👭💫✨🎉🎈🎂	2016-03-13 09:43:49
10		2016-02-28 14:47:06
11		2016-02-21 12:49:20
12	Выходной-время побаловать вкусненьким;-) 😊 😉	2016-02-09 23:56:55
13		2016-02-08 21:12:35
14	Выходной....вкусняшечки;-) 🍪 🍰 🎂	2016-02-02 13:36:28
15	Иногда этого больше чем достаточно 👫 😉	2016-01-28 09:54:22
16		2016-01-10 19:42:26
17		2015-12-29 16:18:29
18		2015-12-19 16:45:23
19		2015-12-19 14:42:54
20		2015-12-19 13:45:27
21		2015-12-09 23:51:00
22		2015-11-22 16:52:00
23	Кока кола врать не будет😃 😃 😃	2015-11-18 16:03:34
24	=))))мои Куличики)))	2015-11-16 22:23:21
25		2015-11-12 17:25:32
26		2015-11-06 15:46:00
