post_id	text	date
1	Санитарный пост💉💊 #авдругвойна#азориздесьтихие#санитарныйпост @ Magnitogorsk Iron and Steel Works	2016-05-27 07:24:12
2		2016-05-21 12:12:48
3	😈	2016-03-20 19:37:44
4	Кисуличка, моя помощница 🐈😼😻 #вислоушки #Чертимвместе	2016-01-21 22:06:37
5	😼	2016-01-04 13:21:39
6	🎀🍓	2015-08-29 16:10:09
7	🙈☺️😘	2015-08-16 16:35:41
8	✅✅✅	2015-07-09 11:27:40
9	Моя Стефания🐈❤️	2015-07-06 16:43:48
10	Доброе утро😻 Всем новых достижений и добра🙏🏼	2015-06-25 09:02:08
11	Счастлив тот, кто может быть собой, Счастлив тот, кто боли не боится. Счастлив тот, кто в силах вести бой,  Счастлив тот, кто может в жизнь влюбиться.  Счастлив тот, кто верит в чудеса, Счастлив тот, кто правды знает ценность. Тот, кто, поутру открыв глаза, Не боится кануть в эту бренность.  Счастлив тот, кто верит – все пройдет, Счастлив тот, кто знает – жизнь прекрасна. Счастлив тот, кто счастьем сам живет, А не ждет в бездействии напрасном.  Ярослав Балакин.	2015-03-29 19:15:07
