post_id	text	date
1	Я одержал победу!	2016-05-28 15:58:08
2	Я одержал победу!	2016-05-28 15:48:52
3	Я одержал победу!	2016-05-28 01:09:37
4	Участвуй в самом эпичном сражении века!	2016-05-27 19:41:17
5	Я одержал победу!	2016-05-27 16:44:58
6	Я одержал победу!	2016-05-27 16:43:05
7	"Я одержал победу в сражении ""Саботаж""."	2016-05-25 11:56:17
8	"Я одержал победу в сражении ""Удар в спину""."	2016-05-24 22:34:19
9	Участвуй в самом эпичном сражении века!	2016-05-19 21:52:08
10	"Я одержал победу в сражении ""Западня""."	2016-05-16 23:30:44
11	Участвуй в самом эпичном сражении века!	2016-05-16 19:28:04
12	"Я одержал победу в сражении ""Снежный покров""."	2016-05-13 23:10:00
13	Участвуй в самом эпичном сражении века!	2016-05-13 19:36:00
14	Участвуй в самом эпичном сражении века!	2016-05-13 19:34:44
15	"Я одержал победу в сражении ""Захват""."	2016-05-12 17:24:07
16	Участвуй в самом эпичном сражении века!	2016-05-11 15:27:13
17	Я начал вторжение на вражескую территорию, присоединяйся!	2016-05-11 00:17:39
18	Я участвовал в параде Победы. С Днём Победы, друзья!	2016-05-07 20:33:05
19	Я участвовал в параде Победы. С Днём Победы, друзья!	2016-05-07 16:40:56
20	Я участвовал в параде Победы. С Днём Победы, друзья!	2016-05-07 08:57:33
21	"Я одержал победу в сражении ""Снежный покров""."	2016-05-07 08:34:12
22	Я участвовал в параде Победы. С Днём Победы, друзья!	2016-05-07 00:47:51
23	Я участвовал в параде Победы. С Днём Победы, друзья!	2016-05-07 00:46:38
24	Я участвовал в параде Победы. С Днём Победы, друзья!	2016-05-07 00:45:23
25	Участвуй в самом эпичном сражении века!	2016-04-27 16:28:36
26	Я одержал победу!	2016-04-26 22:22:21
27	Я одержал победу!	2016-04-26 22:21:05
28	Участвуй в самом эпичном сражении века!	2016-04-15 22:47:41
29	Участвуй в самом эпичном сражении века!	2016-04-15 22:04:16
30	"Я одержал победу в сражении ""Ловушка""."	2016-04-14 23:05:53
31	"Я одержал победу в сражении ""Снежная долина""."	2016-04-14 23:00:40
32	"Я одержал победу в сражении ""Снежный покров""."	2016-04-14 22:58:44
33	Участвуй в самом эпичном сражении века!	2016-04-13 15:29:56
34	Я начал вторжение на вражескую территорию, присоединяйся!	2016-04-13 06:27:16
35	Я принял участие в войсковой операции! Враг повержен!	2016-04-08 21:14:42
36	Участвуй в самом эпичном сражении века!	2016-04-08 20:06:19
37	"Я одержал победу в сражении ""Снежный покров""."	2016-04-08 17:14:00
38	"Я одержал победу в сражении ""Снежный покров""."	2016-04-07 16:22:06
39	"Я одержал победу в сражении ""Холодный берег""."	2016-04-05 23:01:05
40	Моя рота достигла нового уровня!	2016-04-01 21:47:44
41	"Я одержал победу в сражении ""Снежный покров""."	2016-04-01 20:10:22
42	"Я одержал победу в сражении ""Снежный покров""."	2016-03-30 21:42:37
43	Моя рота достигла нового уровня!	2016-03-28 00:47:04
44	Я принял участие в войсковой операции! Враг повержен!	2016-03-22 18:47:36
45	EmojiPlus	2016-03-15 13:55:34
46	Я начал вторжение на вражескую территорию, присоединяйся!	2016-03-09 01:30:35
47	Участвуй в самом эпичном сражении века!	2016-02-05 16:58:51
48	Участвуй в самом эпичном сражении века!	2016-01-21 17:15:45
49	Я одержал победу в игре в кости!	2016-01-20 18:06:34
50	"Я одержал победу в сражении ""Возмездие""."	2016-01-01 00:01:20
51	Участвуй в самом эпичном сражении века!	2015-12-10 15:37:05
52	Участвуй в самом эпичном сражении века!	2015-11-21 19:54:21
53	Я получил 95 уровень!	2015-02-08 07:19:49
54	Я получил 94 уровень!	2015-01-18 08:39:29
55	Я получил 92 уровень!	2014-12-06 09:49:32
56	Я получил 91 уровень!	2014-11-13 16:20:17
57	"Я одержал победу в сражении ""Центр связи""."	2014-10-25 07:28:00
58	Я получил 90 уровень!	2014-10-20 17:31:19
59	Моя зарплата должна составлять 186,045.0 рублей. Узнай свою настоящую зарплату здесь vk.com/app4183747	2014-10-19 12:13:12
60	Я улучшил корабль!	2014-10-10 21:33:29
61	Я получил 89 уровень!	2014-09-22 19:55:02
62	"Я играю в ""Lords&amp;Swords"", а ты?"	2014-08-23 09:16:32
63	Мой результат теста: Сколько у вас будет детей. https://vk.com/app4390930	2014-08-21 21:10:54
64	Мой результат теста: Какая профессия тебе подходит. http://vk.com/app4217158	2014-08-21 21:08:41
