post_id	text	date
1	Не устану благодарить @pintialenka за ее шедевры!!!Мы теперь уж явные поклонники твоих сладостей🎂!!!СПАСИБО 💋	2016-05-26 09:50:07
2	"С днем рождения моя любимая ❤ принцесса 👸 Оставайся такой же доброй и отзывчивой девочкой !Успехов тебе во всех твоих начинаниях!Здоровья, улыбок,веселых друзей!Будь счастлива моя Алиса 🐇,а я постараюсь сделать для тебя ""страну чудес"" 🎉🎉🎉🎉🎉🎉💋💋💋❤💜"	2016-05-26 09:49:04
3		2016-05-20 09:28:57
4	2016 vs 2015  В следующем году Яр наверно будет с Элис одного роста))) 👫	2016-04-16 14:30:22
5		2016-03-16 18:48:20
6	Очень крутые брюки с хлопковым подкладом.Размер 3/4 года.Цена 700 руб.На рост до 104 см.	2016-03-03 20:56:12
7	Я закончила!!!🎨🙌	2016-02-06 13:22:06
8	А спонсор этого поста - Зима. Зима: ну что? Довы@бывались? Морозца хотели? Декабрь вам не май? Не зимний месяц?	2016-01-05 13:47:32
9	Моя первая картина!!!	2016-01-04 17:24:31
